Dem,GavinNewsom,427
Dem,jaredpolis,155
Dem,GovNedLamont,919
Dem,johncarneyde,262
Dem,GovHawaii,466
Dem,jbpritzker,15
Dem,GovLauraKelly,482
Dem,AndyBeshearKY,132
Dem,louisianagov,984
Dem,gretchenwhitmer,44
Dem,GovTimWalz,245
Dem,GovernorBullock,111
Dem,stevesisolak,425
Dem,philmurphynj,14
Dem,michelle4nm,166
Dem,nygovcuomo,676
Dem,NC_Governor,511
Dem,OregonGovBrown,0
Dem,governortomwolf,0
Dem,ginaraimondo,0
Dem,ralphnortham,0
Dem,jayinslee,0
Dem,WVGovernor,0
Dem,tony4wi,0
Rep,GovernorKayIvey,0
Rep,GovDunleavy,148
Rep,dougducey,1000
Rep,AsaHutchinson,236
Rep,rondesantisfl,49
Rep,GovKemp,436
Rep,GovernorLittle,305
Rep,GovHolcomb,310
Rep,kimreynoldsia,110
Rep,GovJanetMills,97
Rep,LarryHogan,322
Rep, massgovernor,255
Rep,tatereeves,353
Rep,mikeparson,220
Rep,GovRicketts,970
Rep,GovChrisSununu,699
Rep,DougBurgum,163
Rep,mikedewine,84
Rep,GovStitt,0
Rep,henrymcmaster,0
Rep,kristinoem,0
Rep,GovBillLee,0
Rep,GregAbbott_TX,0
Rep,GovHerbert,0
Rep,GovPhilScott,0
Rep,GovernorGordon,0
